FLAG VALUES
  '0x13aa508b6187e58a2a4c487182f09d8357596ddc': '0x1889cd4299801cc11168f733b8ce63208a5b50b138a0774dfe603ec32396f73c',
  '0xc1e63b1d8e5d4eab745e3b60eaf6fc518a123fab': '0xdc21fbb97d3a14edfafa010d8f21612c308c96c8de6fddde6b1d5f52ff31c37f',
  '0x5c52d5377ffe200cb9f33f87513999dac459fe5f': '0x786228c78e96a2249928538679d9cf23fa640d66b0fbc3615a9b675694c48664',
  '0x1bd318e96371c98735ace72fd260709520a8d82a': '0xbf8648f1602ec11a886334a378f9333d78d1983c69a7f27d8726d03d27cf6487',
  '0x8ed879da955003a8ff2b57992e5ca7a348636c01': '0x45c1ef7585b15cea90617c7e9b79a64309dd4a0ead8faaba18c33c1aa37df59e',
  '0x6f125c63324ab088745b07184656e196ad694522': '0xc3aae63f09736eaa49264a5258dbfe46d40e577238beaf399b0334af3e41ca10',
  '0xe419ca66ba34b3cc3f53c512aabc32007f06e571': '0x3eb1765a042c5d2a833d5edb92319c9dd8ead9645a8630a41a52e6f69da9b4e2',
  '0xc43d8545c5cd331a55ddca5aa04fe656eb6fb3c6': '0x4dd26cafe2d252531f07215c59cbd4e7eb250871e04c20610e7357d70f1e78d5',
  '0xedaa354abe08812496b80809cbe042657249431e': '0x53a8fda6a8139e885a77f68dadba54a37b9a3c82a411a9a712fb610f19cb720e',
  '0x04d5c96a4d858afc565b743a41f8e54183d1f755': '0xc266578a64859bd5dc626ebfea37d3b4aa7e89e7801a1ed3c07a0ceb337225a7',
  '0xf39d122810a424d31fa6334815ecee5d3fbf5f9e': '0x019c978298d1ad88b5b493e864b5c79495dc88e8908ab2c26a4924e7c8223255',
  '0x857fb7202ed9d9629dcebcd6fce6a2d246f7039b': '0x6af18ddbcf83729ff3e43d3a918b46fac32d6f08afab82ecb6eeba814b5782e3',
  '0xf3929595942a26f8d0a45f06960986b41abc3648': '0x8444f2eed9ffd4ee22cbfa432a9efc86cb9105671107601d7353bfe6cb15b495',
  '0x925f089ab0f4708e203cb3cfdae76c92c167efd4': '0xcf8fdb216cc338c43a2c296f0eba594e9f54a7c2738333f6adbf3fabc62dc249',
  '0xd8864ab4a5a12226df92e97425327716be4109bd': '0x8ba99f4fd4c4bd2ef1828dea7e081b0c08daf85d0d4acec01455157c1eb30fc9',
  '0x461d798c1fbca5b08551452964bd674a99930865': '0x6aaba76390756fc9c866a8e603cf0456cfcea5a91e92f314d9ed70eda5046a57',
  '0xd4ee02af03363ca77ede2784d2dd3fa011b28060': '0xbe8cc978f11396af2deddad937b5a792d89abf8f3f8864f4ed77f7a93c96fd95',
  '0x0b49a44a6d23ec5e33d6998d57977a5c0cfc32f3': '0x981e52ec03550de92d42fe76f1ac833c098984a29b452b021a2ddb77c064ff4e',
  '0xd6532049d744e6b415491d2d05fb376b06341099': '0x8ec0df8b87062122240f78b5a5c8b646565089a80801845bf49dbb83b402d437',
  '0x39cfe3d41f986de3556f48a3dcb7c062d703bdaa': '0x703857753f45cd34ae18d8b55bcc151f182d158467ac441b0fc00efd70d27ebd',
  '0x4129a093fb4ff2618e6670a3746e1817c86ef1e5': '0x34f4e2a135501eb95e0aba49ef4863f66f35b6bf15dfbd794847455e97f432a6',
  '0xe2f38e58279b98af1d5e66953f06615bb1b3f55f': '0xeef76ba1225759f63bdc5c9d31050efe56d3d70e38aae069ae46c1cfd14eaacb',
  '0xd87b52f115430432d50e3e99710733143adc167b': '0x5ad6ffa7edc8537c6e351f3889b6ff4dfb053658e4aa3a8741331abdfcd9780e',
  '0x89ab33a78791f3c54256d73a81307bbdf3f8c80c': '0xe3398f36434043aca243d7fe8ae5d8fef8f45edaa88aa01d3def912c66cd4361',
  '0x69856d543421c6aa25b5de85a264daed6252160a': '0x2f0e1b1561a787bbcb9bbd2a3d7397cea20f9baaf2842236cdea4fff0324364e',
  '0x75cf518d216a4207c8febcbb060e245c63f55e1c': '0x31aa79221d111433c5815affd9e3de69456872f87f53c97163a0c954a2ba8f5b',
  '0xd5a8554a782fedf4a4de9a89d2d14475d6c6a981': '0x427bd243cb86f23fbaeabafaded79ce490a1c056df11e11fbaefbb5d154eb8bf',
  '0x621c5d1e54133e3e27089600a45381321b438102': '0xfe39c1cf1008ffccd58cf27c709e348d76daf0a9fb6691128608c2e6d2886828',
  '0x39a1a6fbedae865b76f88476ec47871be6483505': '0x9932d146b4d283c324702871a782720b0577d1d56d599d00c4d5be5e3b67b307',
  '0xc507ee2b4e459707a6d0e430f422fc8ea0543070': '0x1eb4043f7808af1de5c36e13f4050158edd2e435c4be339afcaed0772609ce50',
  '0xaf0b2a7dbe2c033e262babf63ff5521456ae692d': '0x3007cea9ecd8a4244cfd5db55c0c61e516420bf7e3fcf7423ed86babaf3f0e34',
  '0x75fa5a0b7ba4dc2d8847d5d1619042e499bc3258': '0x5532f510dad662056fae42d517a1987f18788ed1cd3d5b15a2afeb274f4ec6be',
  '0x37578cf72984c0e3e2498a8c2bcf3483f423e76d': '0xd4608208416444a597dd8f093dab5168387b45481826fd0fa6af0dbdbb5338d2',
  '0xd9f984e1c393d9f82e5c3be7a47de730d5193db3': '0x5ec97394c227390829504b8c18cb24a86be5af8a6e8cef69496aa9780b2949d3',
  '0x4d20579b8fe86d01046d2beb6b1722a137aa789c': '0x4a54e92120cf571819f7da9a431d9e55383a918e610db3000b222e5c3ffdb3c2',
  '0x116c90976e82c52d4938ab833a4abed24a0821f9': '0xc75519f74bf84919d981abcb434bea27ba32f54f500b9c35f116eb9b6853babc',
  '0x80768ceeac3c29b51899abf40f271c349dd53e0e': '0x250b77fc048bac309f4bbd0fbcf9269dfb74577e6aea8e5ac93fe570262e3522',
  '0x23dd4b8f74b591911b0374220e777841882806bb': '0x4ac85de0f3ca47d90ed9559b946980241dfb73aa23d18320d48c7facefc7fd42',
  '0xda7b6f25d3bdcac66777ee160214cfa3add55d6c': '0x65008d1493dcc805a85d2c022e5d30bb41439b660328744739b89a21c5c27bec',
  '0x4a7253c5053697c6f701d1eb6b066345dd86c33e': '0x20a2b7cb2c414dc3983219642a772ffa84f8859df76e73c5be99b94d77cfd516',
  '0xddb825a7ffa57dc23402c1520c00b78a24189d7a': '0xfdc62568ba01353e8894704faa8d8c6e08c1296bc5a95bc9138d322f6df60c21',
  '0x4dc3feb1be9aa54bc6b2dd354fe36e3ec58dd6c7': '0x4b9805c19b53086c888ea95cc4de42a3c43185abea0c11b077c6c3a0fcca6a81',
  '0x3fe7a7fdc4756fc4e902f3697a60a93577e1712e': '0x02c6e8ecc8a58c63ebe299214c11356c515fcdf1a83a4add48797c327a5d779b',
  '0xf9f8fd722076fa4ef632e3e6d392269bc45b9c55': '0xa2d5dc5e4677ca7b94590fbc34c7613cbf908afa730f69abba64504040320dd9',
  '0xae599bfef6d2624aa788da3487a55fda0147f267': '0x397f38e4913b4c5c8d21d4908b1b8bc60e3ba8d3869454c40e22665819b95f45',
  '0xcda97b81a6c7c6ae0077b50b5d68bb3a4a460a96': '0x448018eef03bd8bf687500ab9665f0ccb433d5518b3b204da6e40558f8950434',
  '0x99c8330424732d62ac450d92d34021205c9e175a': '0x0352d4b551d5f1f3d286f54997ee81b5b57230ba98003d33492d5c05228793e5',
  '0x484fb22c3f80a421fd239f7c42b26ec844618b07': '0x77d0a18f955e5cf666d23fa7b6b4acddaedcbe5620e3e09899a13b025839861a',
  '0xa90695d6026a5827d69ce9d8ed5aa66c8bf4c352': '0x9276c274fbd2bb5c289b0ffc90fcff7017a93d7543f97c6595742b2ba9412f35',
  '0xe8069e5cec110992a861bec4812bf84db6ac6827': '0xcba5eb7bfea10413ee08659a394df8a6934a598ec07d919a86e45e432b65bf36',
  '0x04f748373f8ececc6523060fb345fea4912c531d': '0xc7cd12e800c75241982f135c32aee7223ebdbf592f44a0a65ff1a43f7c7aafdf',
  '0x8fc395659120f2be327de26c2ad92b072661fa48': '0x2fd0724e6a217d4bcafa46ecac925c15d176fea7aede199e4e9515a68c2fe214',
  '0x560350f410eb874e857f86382033e67db5170f3b': '0xbcb7f0c5f6f66e9a013bf3bba5f40416e46c34679ed10ee6ff87d7b20587bd84',
  '0x8685e80aeab198d6bf23a272b45bd1957d807566': '0xf17493db24e2a4412eced2252a0758f29c27ffcdb646934986b7710aea0b4123',
  '0x6870f516e831f2d892b11ca1efeb346e9ac778fc': '0x3c81ee2fb9e6fdbd2379ba1cbc66a3d3e6a7ff9a5da29da69a2ea962fdd60c67',
  '0x1e277146cbc538ff894cd25b243b7a4df0a784c5': '0x4e5652e8387b8617867ed961975d5b87b6d02584e70d54b62d8d6c7e2bd38575',
  '0xcbc3c4b02fdbcf7e4e60375d8c544693cbf47462': '0xf81bd87e64ce182e8f20b849919530e227ec474572e1e85192965f399e1fa18f',
  '0x844980cb2a7ce88604c6bb1c878ef1af5e0345bd': '0xa37867c93df1f98e080fb18defd62bcb3e23935d9162223bd5a7abef62bd1a1c',
  '0x278c62859f5afb578b93d4d69cecb58ba779405b': '0xbc340f577885b69ac741a7f3159693b942ef338964d30f01055fb13ec28ce362',
  '0x1579c3dbf6746f943d6c13f69b615d4410719d33': '0x26dd54315da81d45a63cb069fab925c7c5c7691c765198617afa6635277baec4',
  '0x63dbd5c4ec203cd20848f14b20700208670e1175': '0x77baa529b4c72540b34f180c958a2f11b6b698e53fef5bb589a5c978c1695bfe',
  '0x8c8de1732e678cd333ec5bd895dff7a3f57a47ac': '0x753fd1cc084c2afee85914c76098a6737c4f849d096da863882569cad8901fc9',
  '0xaabd5768522e632ee2804e06098a1abd279e93d6': '0x455ce0828501424d3305f1ae976b101510e07bfd8e049a91f4d963f37edb7206',
  '0x31dfc0e9d39e1b710d42b07d05294cf977007d50': '0x58fbede81a405c20a72b9bdd980faf1152c8d4bf3717550d9885dece5db96ce2',
  '0x751e7d82b4c288acc101f11709f5411ab9480459': '0xcaf58120b2dbebcde90e99419bffa15a006ea62e8652bf5c2d722cb7c6640060',
  '0x4edbd6835f2d767dc7037c262f62bbb9ee3ba09e': '0xe192469caa06a5ddceacc8e1cecdf14675c0cac3dc419cdaece719fd999f87c5',
  '0xe09add955d1580f2083634bb7d8439dee18fc938': '0x222abdb6a8723d567527212abe6760b525c60a8b6eb497ad45b150e7741bc538',
  '0x2e452105322f1b894ba6858288e2d6ec5d5fe8e7': '0x28b8ca236e046271b4722d6177a013ba2946b2d2de1248a861472d4bd34a4457',
  '0x213246098603ef37177456dc4511926f3a253529': '0xb2304d3e4463d7d37db54d3bd0613442c3ac13da7bcef6e6b290094feedc29e8',
  '0xa6897b9283ec3f428dce5b14657f43215ca95920': '0xb5147d2d7e9e6b8bb23240629385189969c8f22437cbec714d986841051729f9',
  '0xef7cecc7db95db6cecb8dc40e84572161e47f088': '0x987dad3ed7824d56d5c262cca1356159accf25ef025a508222f5af637599446f',
  '0xaa7d4a6db1ad8a99215f6ad4a035f130b611d023': '0xee90eb94cbd97850ac26d44d2bb75d64c0230322829758661c05b4cc2a6b52f0',
  '0x33405196559aaae09f4ecebbe5d424404092eb2c': '0xb6c9d94aba88d4e54e8dec9b53e5fd07e0fb74c5eacf2b50391228f88598c27c',
  '0xa71d76d448e7507c187f3b245558a6cbca45cbbd': '0x724b612cf5a29ef44447f79fab80139cae5ccaa98fd753131525ce2d91253b94',
  '0x3d5f1b61fa6225df4397ae3130de9bf319086f44': '0x4fb394df76200199be4e61e4192879870ed559ecdabe95da92266dfb6e657285',
  '0x692f40ca6fa56fa0ce51522a6c8c818d8ad76813': '0xf2fed0f75bc35cc2cbbe5394ed66dc88c527d35880bd16472e1a84177f794f18',
  '0xc00ecdd6078e4a22e8a36a9af8a63a5057881bc2': '0x6d6b9a799b3ece357120fdfecaf8e5f347ae6bee4a299673cea10c8588b01ac9',
  '0xbfd2d3d8c6631d9029155601373a753cca3e9b62': '0xc21a96a4ff32bed167adaf25e6d583796fcdacc329c74be25d16559fab1c0c11',
  '0x40352a67b2347e2bfd195f6cb8495596fac4103e': '0xcc9dbb637d8a9d5245ad63c45159ef2b125844c2c01031a466aeb0d392adaf02',
  '0xa6e6d8ec031d7934badfde9e7b93be95cff687d8': '0x5fda0f3c2b530fb7fe29cb9a61407ea3166a86752d1295e0a8be3902f9faf4bd',
  '0x97f1bf5000e444f79e8f20da3668242a61e2a4da': '0x801656cffbd730a3f530a9d9d49b6cc6e36ec23a028ad8544e783288356192ad',
  '0x4d9a838562bb3571ba7bfd72a541faa086210c41': '0x39c3820269257847fef89afcc020abf174e64484b5f459f0adead515a3c31c3c',
  '0xf4aadbfdde6e411ad91566a026d22eb1045b0be9': '0x4640ec15517acf8b4e6d94f3f26b6128a3d9b29adab5f7a5f75696c6dfd4073e',
  '0x3b82b1067def5d0944a55aeae34e6de6a3b02803': '0x4b9d3963aa1df58ee4925520e64fe26e2d1feeb29dad058f58f8dd08c7b7918e',
  '0x4227b1c40b833dc521b126245049eda24f4095da': '0x61a44c6f6e1c061d684a077454b9b5e44a890d713ebfecbce2d80dfe6227b8bf',
  '0xbba2a5c56eae334578f7b877527af15f9cdfab43': '0xe83adf52352cb32e13f67da0a6df5cc5dea05ab22f470168adc871157cc66c57',
  '0xecd90ca28b46275e59cafe83c432d5edd0df0a92': '0x28d87aa3b9746ba9f9792f732cd967c8eb9b59e68c708cf679c5daec53c08fc6',
  '0x5f613001a7237585c3ee65ae07dfbf747f236c4c': '0xaae223ec920069a541da364a5dcf67aed581d77cccc2e6922bb84894a48ccd88',
  '0x9ebfe8cc603b5ba775352f1305d1aff622f8aee7': '0x7e66331b3a63db170b372d2010ee3bda8b6f4c1b2c1bc782f0e8cff8e5b73c07',
  '0xbedf33328ef6c64ee084fded3cc55f7adcc8f44c': '0xd8ed712c9c6f65d3bbdaf79259b0def2c581feaa72120c4253d01e6a2e7dde8e',
  '0x334002156ed4f49e3da3b42285652e493a4cc0b0': '0x42c50d7c10ded0a44cfdaa1a7e3b096cce4496b86203913b430ca50f30dc6e20',
  '0x349154f01c67695e1a213fc9678c9edef5f5fac4': '0xb233e7194762d5c1eaecc8c5d938bb65771688b6a9e7880f75f84aae0dfb85ba',
  '0x10603014b61c46605cce23856b201e2078abfd97': '0x17b50e8ebe8d908df32a86573173908d9258a6982e387282736d8627535f62c2',
  '0x736c64eba1efd0e53122da0505a31f79e2287133': '0x5708f96be08e7dd36fc28a81bf58cf2ec51fbd1b9f6983cbceb1925403bf89b0',
  '0x0d1e90c0a1b596b13ab99b386f68197db6521d5e': '0xc59bc18627a5c942474deee2cba4a26a8de6a0608ff7b38e70789b263c5cb3a1',
  '0xda4de8de99c0f7c2eff515d418aa6973fdada951': '0x699df01899ab0ea592153bc2a4135ee61aaee4aadd48ec52deaefb11bb0d2ff6',
  '0x44b0833756632b5b88184313f08fd6e22a54db66': '0x1f5666efff68246c512c2f98892b087e388a0346e318c945f29e56d4372e194e',
  '0x0765e91d0245a15374b8b65f388e6b1ee849e7b8': '0xeff4e11b82b14984348cb8f670bcefd36713d4eb1dfdb9e0b46ab17f161de162',
  '0x8e5a5e0fe4122f8dc83e9165c933ca5022ff300c': '0x2d4a8b287062177056857e1b7c5b54f2e30b84c9c48959788098b62f6efde563',
  '0xfec22616bdaa59162057951d9f5986a557dee613': '0x23968bb9c5bf07acd7be15c61bef92d6b74f1f2c29c377565eb1058cb57637fb',
  '0x16f8bcc3269edec6ceb4ecf8c0f392569aea5c5f': '0xd97114f23dab5ada088af7d58b3a974a5ebd3de8e14e22ca0dff39b02e2fc4a1',
  '0xc1cc1360931ee57b79a9581e18e76dd545bf4bcc': '0xd186593d28992714e36f73b923e23de5f9aa2ce3c5c4e7e025cb81e61bef5aea',
  '0x56c608ddecb6b88d9ba407cadb1749cb18252687': '0x3e9e9f6495fb957831d0cc9e291752b66eac6fc9ad652a8684cc63ccd1b6f1b1',
  '0x6d83d1ced0276d93064afe7ed17840b25ff8b251': '0xf1de0e8dc384cbe37943cd1e84b0da70e8dd5615fa528b91439e9486c916af18'
}
ADMIN, CHARITY, AND DELEGATIONS
0x0f855f8000ba956916d4f80cb6d4a5747923bee0
0x6d83d1ced0276d93064afe7ed17840b25ff8b251
{
  '0xe9af489430ea7d69442edca83c9bd962213e731a': '0x1d6c8c05a0cd90acf5dd2be446cc3e1380546bf8',
  '0x812ed9db3873cc01cb02c4200736d1bd65efb357': '0x1e3ded6e367949192cfd5abd4b6d791d08d2d8fe',
  '0x49b5558c684b908986d20ad0cadf2c335fd4f272': '0xaf6363317cf7a60ffd74202e5336928759cac064',
  '0xb160356f1405d2f46c687fb460ab0a18710b6dce': '0xad4a37874da52dbef62113e28bf2c794829fec49',
  '0xd6aec77b353b3a8fecb762c9b996fb6074ae8fce': '0x36f87a94af20f7f35a519d3cc201ec706b23d639',
  '0x24993fd8b00b34579f5bfcac0d172c0b1175ca96': '0x622b702c91e4329c464c0fcf9cdd0360abeedecb',
  '0xd8bc8d332da510821354f546062f78d9d1c53e24': '0xa58a06381280d1761e70eacda476592da600912c',
  '0xa6f3e219a5b8f08473c99e8c8717b90f4ee40267': '0x1fb701ca3f7bcff1c7a243795b23feaf7c4ab828',
  '0x762f07a4e4f04346a574c34b5353416cdb58183f': '0xce2a59f6a61354a2429a06cb0d728e26f2355b04',
  '0x37d6354ae095466a423f2063ee2a384ecd4035d7': '0x48977165359235c8e08651302aa9e49b773d0c26',
  '0xeea0db7edb3609f413a9a2e2d535d628462058d6': '0x0b42c41f8a158bda4e2009b599a07b23ea7f46a7',
  '0x1723cde21190ebc107dda0eee9edaba3ba11420a': '0xcc96154cf5050c653b9899fbe3590078ab8f28bd',
  '0x50963439cb6876d5288f1286e39f1082cc1d3f82': '0xb5745f9e0a795942189562b2fa966eae2ee5a60b',
  '0x83ed7bb2275759fd32bd4ec49c646aa8c8ccaec2': '0xbc752770a344a10b789e8593ec53b38c876b5389',
  '0x6c23fdcc0ee47438d38dc86e9b7fa08f06b51cee': '0x756cde4eaee846e152f6dc9677baf1429c237b65',
  '0xa2082384631f120f7e67e8fc0d0c8367bfd87d37': '0x67da80fe16115222c2812236c59b1e4cbc8e7131',
  '0xfc6498e777da0ecba553d353646fb22503b9146c': '0xb6e6314b825016a9400c3518e97a1fc4525bb1d3',
  '0x602db33058f52d3fd83a16ead89e0efb15cbb4a5': '0x3592a906ea8045ffada4409dc89cfb29d56d3af1',
  '0x32d7bde6d4f2d2989c63500e1fced04c74e754f4': '0x3c19fb9b1deeba6b48974ca889782e3449f844ee',
  '0xf5465304ebdc7582fe7f1b1e23bba149a136534a': '0x2d64928a2f6904e74807c76b132b27b2c06a53ef',
  '0x13b569c0d03b755a0ad477e97edd81c5e07bb664': '0x693a46f999b285f34703ddcfb4d0299075acb2ef',
  '0x3cf44f8036056ce2cf6c16f8465f44eb71c11b89': '0xd323d514274a4cc6c2cf3c99a7f12e179eea4bc5',
  '0x61efb3fdada6e0b4b808f769061b942592427daf': '0x5781bb2cb9c7b29ca193f3c99f9a16abb9ea8d4c',
  '0xb1283654af522f9169354fd8115698d6e1a94aae': '0x13aa508b6187e58a2a4c487182f09d8357596ddc',
  '0xc1e63b1d8e5d4eab745e3b60eaf6fc518a123fab': '0x5c52d5377ffe200cb9f33f87513999dac459fe5f',
  '0x1bd318e96371c98735ace72fd260709520a8d82a': '0x8ed879da955003a8ff2b57992e5ca7a348636c01',
  '0x6f125c63324ab088745b07184656e196ad694522': '0xe419ca66ba34b3cc3f53c512aabc32007f06e571',
  '0xc43d8545c5cd331a55ddca5aa04fe656eb6fb3c6': '0xedaa354abe08812496b80809cbe042657249431e',
  '0x04d5c96a4d858afc565b743a41f8e54183d1f755': '0xf39d122810a424d31fa6334815ecee5d3fbf5f9e',
  '0x857fb7202ed9d9629dcebcd6fce6a2d246f7039b': '0xf3929595942a26f8d0a45f06960986b41abc3648',
  '0x925f089ab0f4708e203cb3cfdae76c92c167efd4': '0xd8864ab4a5a12226df92e97425327716be4109bd',
  '0x461d798c1fbca5b08551452964bd674a99930865': '0xd4ee02af03363ca77ede2784d2dd3fa011b28060',
  '0x0b49a44a6d23ec5e33d6998d57977a5c0cfc32f3': '0xd6532049d744e6b415491d2d05fb376b06341099',
